Date,Open,High,Low,Close,Adj Close,Volume
2013-08-01,null,null,null,null,null,null
2013-09-01,3097.649902,3248.520020,3077.129883,3218.199951,3218.199951,34997740000
2013-10-01,3220.919922,3408.280029,3117.689941,3377.729980,3377.729980,43017190000
2013-11-01,3392.320068,3495.969971,3318.399902,3487.820068,3487.820068,35818470000
2013-12-01,3496.189941,3592.000000,3422.860107,3592.000000,3592.000000,37139280000
2014-01-01,3575.600098,3634.649902,3461.639893,3521.919922,3521.919922,45227610000
2014-02-01,3524.229980,3722.379883,3418.879883,3696.100098,3696.100098,39978180000
2014-03-01,3657.320068,3738.320068,3543.070068,3595.739990,3595.739990,46796180000
2014-04-01,3615.909912,3676.360107,3414.110107,3582.020020,3582.020020,44391220000
2014-05-01,3589.659912,3741.570068,3506.350098,3736.820068,3736.820068,39290130000
2014-06-01,3740.709961,3860.649902,3707.889893,3849.479980,3849.479980,40249370000
2014-07-01,3864.139893,3997.500000,3837.159912,3892.500000,3892.500000,39536410000
2014-08-01,3886.100098,4082.969971,3845.199951,4082.560059,4082.560059,33417300000
2014-09-01,4093.120117,4118.910156,4007.629883,4049.449951,4049.449951,39631140000
2014-10-01,4043.330078,4170.870117,3700.229980,4158.209961,4158.209961,50136190000
2014-11-01,4160.600098,4347.089844,4126.720215,4337.790039,4337.790039,32967990000
2014-12-01,4323.950195,4332.549805,4089.090088,4236.279785,4236.279785,39587090000
2015-01-01,4258.600098,4292.879883,4078.850098,4148.430176,4148.430176,38719030000
2015-02-01,4162.200195,4464.310059,4094.729980,4440.669922,4440.669922,35773090000
2015-03-01,4452.799805,4483.970215,4280.950195,4333.689941,4333.689941,41204240000
2015-04-01,4328.169922,4562.330078,4283.910156,4414.250000,4414.250000,36159640000
2015-05-01,4437.700195,4551.529785,4349.930176,4508.250000,4508.250000,35994540000
2015-06-01,4530.029785,4561.640137,4377.229980,4396.759766,4396.759766,41338820000
2015-07-01,4433.790039,4694.129883,4344.149902,4588.910156,4588.910156,40634120000
2015-08-01,4595.259766,4634.700195,3787.229980,4274.580078,4274.580078,43388300000
2015-09-01,4177.939941,4450.660156,4053.120117,4181.060059,4181.060059,41503920000
2015-10-01,4185.279785,4681.229980,4124.549805,4648.830078,4648.830078,42348240000
2015-11-01,4658.790039,4737.120117,4486.089844,4664.509766,4664.509766,36814190000
2015-12-01,4685.740234,4739.750000,4478.250000,4593.270020,4593.270020,40577940000
2016-01-01,4485.060059,4522.120117,3992.909912,4279.169922,4279.169922,44867130000
2016-02-01,4254.410156,4301.629883,3888.780029,4201.120117,4201.120117,43098650000
2016-03-01,4238.080078,4518.180176,4225.930176,4483.660156,4483.660156,40738880000
2016-04-01,4461.770020,4574.379883,4307.100098,4341.299805,4341.299805,38014300000
2016-05-01,4350.830078,4526.839844,4282.000000,4523.890137,4523.890137,38803240000
2016-06-01,4507.180176,4536.549805,4179.729980,4417.700195,4417.700195,44213900000
2016-07-01,4411.770020,4743.250000,4375.720215,4730.229980,4730.229980,36050040000
2016-08-01,4734.439941,4837.669922,4689.549805,4771.049805,4771.049805,38754780000
2016-09-01,4774.810059,4895.500000,4656.509766,4875.700195,4875.700195,40054600000
2016-10-01,4864.629883,4911.759766,4760.069824,4801.270020,4801.270020,34644850000
2016-11-01,4810.299805,4896.569824,4647.589844,4810.810059,4810.810059,41870720000
2016-12-01,4806.770020,4992.080078,4721.410156,4863.620117,4863.620117,38559260000
2017-01-01,4900.850098,5172.430176,4884.520020,5116.770020,5116.770020,36027970000
2017-02-01,5157.830078,5358.529785,5128.759766,5330.310059,5330.310059,36709560000
2017-03-01,5368.649902,5451.500000,5316.020020,5436.229980,5436.229980,43937720000
2017-04-01,5440.200195,5600.000000,5353.589844,5583.529785,5583.529785,33793200000
2017-05-01,5602.439941,5813.259766,5568.470215,5788.799805,5788.799805,60062220000
2017-06-01,5804.169922,5897.689941,5599.439941,5646.919922,5646.919922,85126830000
2017-07-01,5680.359863,5995.770020,5579.640137,5880.330078,5880.330078,36054580000
2017-08-01,5900.640137,5995.450195,5750.500000,5988.600098,5988.600098,41236800000
2017-09-01,6001.819824,6012.950195,5839.890137,5979.299805,5979.299805,38177120000
2017-10-01,5988.959961,6258.419922,5955.830078,6248.560059,6248.560059,41421370000
2017-11-01,6274.259766,6426.040039,6194.580078,6365.560059,6365.560059,41870380000
2017-12-01,6325.609863,6522.700195,6234.220215,6396.419922,6396.419922,38573170000
2018-01-01,6431.589844,7022.970215,6417.750000,6949.990234,6949.990234,56549490000
2018-02-01,6910.569824,7003.129883,6164.430176,6854.419922,6854.419922,43791970000
2018-03-01,6862.939941,7186.089844,6410.040039,6581.129883,6581.129883,48292130000
2018-04-01,6528.229980,6856.959961,6322.600098,6605.569824,6605.569824,42932190000
2018-05-01,6592.930176,7016.419922,6539.870117,6967.729980,6967.729980,45405220000
2018-06-01,7010.080078,7309.990234,6950.229980,7040.799805,7040.799805,62885370000
2018-07-01,6979.540039,7511.390137,6969.160156,7231.979980,7231.979980,38625490000
2018-08-01,7269.200195,7588.720215,7221.350098,7570.250000,7570.250000,40089520000
